organ,n,sex_balacc,sex_auc,sex_auc_std,age_mae,age_r2
hip_right,450,0.8590384976680905,0.9399894604710891,0.031034504732284515,10.400119323730468,0.13614681214433993
hip_left,453,0.8495423924420946,0.9228293835046566,0.027701885293244174,10.909665688036124,0.04916781346221868
vertebrae_L3,556,0.7999742715078632,0.9030898873905928,0.02610329736452919,10.650784793200792,0.2482440190813889
esophagus,594,0.7321177166518781,0.7936629061562513,0.03643917673574007,10.684129550229143,0.13382321610772113
aorta,427,0.7082199546485259,0.7903242630385486,0.027751742716092893,9.664226782051221,0.2980043980173557
heart,669,0.7079952830188679,0.7799650593990216,0.06877821726836301,10.55632425025047,0.017271898834991938
kidney_left,538,0.6774074843115541,0.7614360748263366,0.04020525466406406,11.047023813961369,0.17536501076214667
sacrum,513,0.6818819403857393,0.7592755432761277,0.023103439484246514,11.835437835440644,-0.0046854451885088855
kidney_right,548,0.6751194789510006,0.7462506469979295,0.049910031591331144,11.229366444515328,0.12806231519662184
liver,531,0.6614617940199337,0.7402116402116403,0.03506741875139246,13.014807035338203,-0.16602899401678983
pancreas,574,0.6325959986214652,0.7185802511488446,0.05383046785414552,11.538064410211838,0.0732572500216051
stomach,575,0.6259668109668108,0.701888888888889,0.03206514880974492,12.354634168844566,-0.0772840214798236
urinary_bladder,516,0.6267829457364341,0.6882170542635659,0.021196412511818866,13.37951121647203,-0.31966308322981174
inferior_vena_cava,479,0.6162337662337662,0.6804642857142856,0.03872754009081803,13.273588639476841,-0.18145806536321155
spleen,602,0.6093095717160104,0.6603955159528601,0.04526758701486202,12.373873713206981,-0.1225804527245472
gallbladder,504,0.5601733429858429,0.548611111111111,0.05672479869829185,13.460862621496219,-0.22474838110353876
