bin_lo,bin_hi,n,confidence,accuracy
0.0,0.1,362,0.029530320998563595,0.06077348066298342
0.1,0.2,86,0.14336522070820942,0.29069767441860467
0.2,0.30000000000000004,57,0.243655393520991,0.2982456140350877
0.30000000000000004,0.4,47,0.3474233175845856,0.3617021276595745
0.4,0.5,235,0.4341785208976015,0.425531914893617
0.5,0.6000000000000001,42,0.5412689546744028,0.30952380952380953
0.6000000000000001,0.7000000000000001,52,0.6565478295087814,0.6923076923076923
0.7000000000000001,0.8,53,0.7478843353829294,0.6981132075471698
0.8,0.9,49,0.859041339280654,0.8775510204081632
0.9,1.0,191,0.9669132042305632,0.9267015706806283
