,valid_fraction
heart,0.5688775510204082
spleen,0.5119047619047619
esophagus,0.5051020408163265
stomach,0.48894557823129253
pancreas,0.4880952380952381
vertebrae_L3,0.47278911564625853
kidney_right,0.46598639455782315
kidney_left,0.4574829931972789
liver,0.45153061224489793
urinary_bladder,0.4387755102040816
sacrum,0.4362244897959184
gallbladder,0.42857142857142855
inferior_vena_cava,0.407312925170068
hip_left,0.3852040816326531
hip_right,0.3826530612244898
aorta,0.3630952380952381
autochthon_left,0.12329931972789115
autochthon_right,0.12159863945578231
femur_left,0.06207482993197279
femur_right,0.055272108843537414
