organ,n_valid,age_valid,frac_female_valid,age_cohort,frac_female_cohort
heart,669,64.72944693572497,0.3997005988023952,63.57531914893617,0.4148211243611584
spleen,602,63.76206322795341,0.4116666666666667,63.57531914893617,0.4148211243611584
esophagus,594,64.5,0.41245791245791247,63.57531914893617,0.4148211243611584
stomach,575,63.17595818815331,0.38917975567190227,63.57531914893617,0.4148211243611584
pancreas,574,63.13089005235602,0.40384615384615385,63.57531914893617,0.4148211243611584
vertebrae_L3,556,63.21081081081081,0.42057761732851984,63.57531914893617,0.4148211243611584
kidney_right,548,63.19561243144424,0.4157509157509158,63.57531914893617,0.4148211243611584
kidney_left,538,63.150837988826815,0.40671641791044777,63.57531914893617,0.4148211243611584
liver,531,63.61698113207547,0.4045368620037807,63.57531914893617,0.4148211243611584
urinary_bladder,516,63.89341085271318,0.4174757281553398,63.57531914893617,0.4148211243611584
sacrum,513,63.953216374269005,0.4296875,63.57531914893617,0.4148211243611584
gallbladder,504,62.45436507936508,0.36779324055666,63.57531914893617,0.4148211243611584
inferior_vena_cava,479,64.12108559498957,0.41841004184100417,63.57531914893617,0.4148211243611584
hip_left,453,64.97350993377484,0.413716814159292,63.57531914893617,0.4148211243611584
hip_right,450,65.19777777777777,0.41648106904231624,63.57531914893617,0.4148211243611584
aorta,427,63.69789227166277,0.4215456674473068,63.57531914893617,0.4148211243611584
